Analyte,Value_ppm,Ref_Low_ppm,Ref_High_ppm,Flag,Herd,,
Vitamin E,1.09,4,10,L,wickstrum farms,STILLBORN,LIVER
Analyte,Value_ppm,Ref_Low_ppm,Ref_High_ppm,Flag,Matt Sullivan,Animal_Id,Specimen_Desc
Ca,44,30,200,,Matt Sullivan,CALF,LIVER
Co,0.022,0.01,0.063,,Matt Sullivan,CALF,LIVER
Cu,85,40,170,,Matt Sullivan,CALF,LIVER
Fe,51,40,400,,Matt Sullivan,CALF,LIVER
K,2355,1400,4000,,Matt Sullivan,CALF,LIVER
Mg,119,100,250,,Matt Sullivan,CALF,LIVER
Mn,0.952,0.7,3.5,,Matt Sullivan,CALF,LIVER
Mo,0.275,0.2,0.6,,Matt Sullivan,CALF,LIVER
Na,899,900,3000,L,Matt Sullivan,CALF,LIVER
P,2285,2000,4000,,Matt Sullivan,CALF,LIVER
Se,0.385,0.3,1.5,,Matt Sullivan,CALF,LIVER
Zn,58,37,205,,Matt Sullivan,CALF,LIVER
Analyte,Value_ppm,Ref_Low_ppm,Ref_High_ppm,Flag,Ron Pope,Animal_Id,Specimen_Desc
Ca,35.1,30,200,,Ron Pope,Down Cow with Diarrhea,LIVER
Co,0.048,0.02,0.2,,Ron Pope,Down Cow with Diarrhea,LIVER
Cr,0.033,0.04,3.8,L,Ron Pope,Down Cow with Diarrhea,LIVER
Cu,10,25,150,L,Ron Pope,Down Cow with Diarrhea,LIVER
Fe,192,45,220,,Ron Pope,Down Cow with Diarrhea,LIVER
K,1871,1400,4000,,Ron Pope,Down Cow with Diarrhea,LIVER
Mg,152,100,250,,Ron Pope,Down Cow with Diarrhea,LIVER
Mn,1.584,1.5,5,,Ron Pope,Down Cow with Diarrhea,LIVER
Mo,0.728,0.2,1.4,,Ron Pope,Down Cow with Diarrhea,LIVER
Na,1070,900,3000,,Ron Pope,Down Cow with Diarrhea,LIVER
P,2372,2000,4000,,Ron Pope,Down Cow with Diarrhea,LIVER
